"soi.date.orig","SOI","yr","mo.no.char","mo.no","mo.char"
198404,0.3,1984,"04",4,"Apr"
198405,0.2,1984,"05",5,"May"
198406,-0.3,1984,"06",6,"Jun"
198407,0.2,1984,"07",7,"Jul"
198408,0.4,1984,"08",8,"Aug"
198409,0.1,1984,"09",9,"Sep"
198410,-0.3,1984,"10",10,"Oct"
198411,0.3,1984,"11",11,"Nov"
198412,-0.1,1984,"12",12,"Dec"
198501,-0.3,1985,"01",1,"Jan"
198502,1.2,1985,"02",2,"Feb"
198503,0.8,1985,"03",3,"Mar"
198504,1.2,1985,"04",4,"Apr"
198505,0.4,1985,"05",5,"May"
198506,-0.4,1985,"06",6,"Jun"
198507,-0.1,1985,"07",7,"Jul"
198508,1,1985,"08",8,"Aug"
198509,0,1985,"09",9,"Sep"
198510,-0.4,1985,"10",10,"Oct"
198511,-0.2,1985,"11",11,"Nov"
198512,0.2,1985,"12",12,"Dec"
198601,1,1986,"01",1,"Jan"
198602,-1,1986,"02",2,"Feb"
198603,0.5,1986,"03",3,"Mar"
198604,0.3,1986,"04",4,"Apr"
198605,-0.2,1986,"05",5,"May"
198606,1,1986,"06",6,"Jun"
198607,0.3,1986,"07",7,"Jul"
198608,-0.4,1986,"08",8,"Aug"
198609,-0.5,1986,"09",9,"Sep"
198610,0.6,1986,"10",10,"Oct"
198611,-1.2,1986,"11",11,"Nov"
198612,-1.4,1986,"12",12,"Dec"
198701,-0.7,1987,"01",1,"Jan"
198702,-1.2,1987,"02",2,"Feb"
198703,-1.3,1987,"03",3,"Mar"
198704,-1.4,1987,"04",4,"Apr"
198705,-1.3,1987,"05",5,"May"
198706,-1.1,1987,"06",6,"Jun"
198707,-1.4,1987,"07",7,"Jul"
198708,-0.9,1987,"08",8,"Aug"
198709,-1,1987,"09",9,"Sep"
198710,-0.4,1987,"10",10,"Oct"
198711,0,1987,"11",11,"Nov"
198712,-0.5,1987,"12",12,"Dec"
198801,-0.1,1988,"01",1,"Jan"
198802,-0.4,1988,"02",2,"Feb"
198803,0.6,1988,"03",3,"Mar"
198804,0.1,1988,"04",4,"Apr"
198805,0.9,1988,"05",5,"May"
198806,0.1,1988,"06",6,"Jun"
198807,1,1988,"07",7,"Jul"
198808,1.5,1988,"08",8,"Aug"
198809,1.8,1988,"09",9,"Sep"
198810,1.4,1988,"10",10,"Oct"
198811,1.7,1988,"11",11,"Nov"
198812,1.2,1988,"12",12,"Dec"
198901,1.5,1989,"01",1,"Jan"
198902,1.2,1989,"02",2,"Feb"
198903,1.1,1989,"03",3,"Mar"
198904,1.6,1989,"04",4,"Apr"
198905,1.2,1989,"05",5,"May"
198906,0.7,1989,"06",6,"Jun"
198907,0.9,1989,"07",7,"Jul"
198908,-0.3,1989,"08",8,"Aug"
198909,0.5,1989,"09",9,"Sep"
198910,0.8,1989,"10",10,"Oct"
198911,-0.2,1989,"11",11,"Nov"
198912,-0.5,1989,"12",12,"Dec"
199001,-0.1,1990,"01",1,"Jan"
199002,-1.8,1990,"02",2,"Feb"
199003,-0.4,1990,"03",3,"Mar"
199004,0.2,1990,"04",4,"Apr"
199005,1.2,1990,"05",5,"May"
199006,0.3,1990,"06",6,"Jun"
199007,0.5,1990,"07",7,"Jul"
199008,-0.2,1990,"08",8,"Aug"
199009,-0.7,1990,"09",9,"Sep"
199010,0.3,1990,"10",10,"Oct"
199011,-0.5,1990,"11",11,"Nov"
199012,-0.2,1990,"12",12,"Dec"
199101,0.6,1991,"01",1,"Jan"
199102,0.3,1991,"02",2,"Feb"
199103,-0.7,1991,"03",3,"Mar"
199104,-0.6,1991,"04",4,"Apr"
199105,-1,1991,"05",5,"May"
199106,-0.1,1991,"06",6,"Jun"
199107,0,1991,"07",7,"Jul"
199108,-0.4,1991,"08",8,"Aug"
199109,-1.5,1991,"09",9,"Sep"
199110,-1,1991,"10",10,"Oct"
199111,-0.7,1991,"11",11,"Nov"
199112,-1.8,1991,"12",12,"Dec"
199201,-2.9,1992,"01",1,"Jan"
199202,-0.9,1992,"02",2,"Feb"
199203,-2,1992,"03",3,"Mar"
199204,-1,1992,"04",4,"Apr"
199205,0.3,1992,"05",5,"May"
199206,-0.6,1992,"06",6,"Jun"
199207,-0.6,1992,"07",7,"Jul"
199208,0.4,1992,"08",8,"Aug"
199209,0.1,1992,"09",9,"Sep"
199210,-1.4,1992,"10",10,"Oct"
199211,-0.7,1992,"11",11,"Nov"
199212,-0.6,1992,"12",12,"Dec"
199301,-0.9,1993,"01",1,"Jan"
199302,-0.7,1993,"02",2,"Feb"
199303,-0.5,1993,"03",3,"Mar"
199304,-1.2,1993,"04",4,"Apr"
199305,-0.3,1993,"05",5,"May"
199306,-0.8,1993,"06",6,"Jun"
199307,-0.8,1993,"07",7,"Jul"
199308,-0.9,1993,"08",8,"Aug"
199309,-0.7,1993,"09",9,"Sep"
199310,-1.1,1993,"10",10,"Oct"
199311,-0.1,1993,"11",11,"Nov"
199312,0.2,1993,"12",12,"Dec"
199401,-0.1,1994,"01",1,"Jan"
199402,0.3,1994,"02",2,"Feb"
199403,-0.7,1994,"03",3,"Mar"
199404,-1.3,1994,"04",4,"Apr"
199405,-0.7,1994,"05",5,"May"
199406,-0.4,1994,"06",6,"Jun"
199407,-1.3,1994,"07",7,"Jul"
199408,-1.2,1994,"08",8,"Aug"
199409,-1.6,1994,"09",9,"Sep"
199410,-1.1,1994,"10",10,"Oct"
199411,-0.6,1994,"11",11,"Nov"
199412,-1.2,1994,"12",12,"Dec"
199501,-0.4,1995,"01",1,"Jan"
199502,-0.1,1995,"02",2,"Feb"
199503,0.8,1995,"03",3,"Mar"
199504,-0.7,1995,"04",4,"Apr"
199505,-0.4,1995,"05",5,"May"
199506,0.1,1995,"06",6,"Jun"
199507,0.4,1995,"07",7,"Jul"
199508,0.3,1995,"08",8,"Aug"
199509,0.3,1995,"09",9,"Sep"
199510,0,1995,"10",10,"Oct"
199511,0,1995,"11",11,"Nov"
199512,-0.5,1995,"12",12,"Dec"
199601,1,1996,"01",1,"Jan"
199602,0.3,1996,"02",2,"Feb"
199603,1.1,1996,"03",3,"Mar"
