"","yr","variable","MEI"
"577",1990,"aug.sep",0.378
"578",1991,"aug.sep",0.76
"579",1992,"aug.sep",0.497
"580",1993,"aug.sep",0.992
"581",1994,"aug.sep",0.908
"582",1995,"aug.sep",-0.426
"583",1996,"aug.sep",-0.437
"584",1997,"aug.sep",3.044
"585",1998,"aug.sep",-0.6
"586",1999,"aug.sep",-0.953
"587",2000,"aug.sep",-0.227
"588",2001,"aug.sep",-0.165
"589",2002,"aug.sep",0.908
"590",2003,"aug.sep",0.477
"591",2004,"aug.sep",0.572
"592",2005,"aug.sep",0.315
"593",2006,"aug.sep",0.823
"594",2007,"aug.sep",-1.181
"595",2008,"aug.sep",-0.551
"596",2009,"aug.sep",0.735
"597",2010,"aug.sep",-1.868
"598",2011,"aug.sep",-0.769
"599",2012,"aug.sep",0.339
"600",2013,"aug.sep",-0.133
"601",2014,"aug.sep",0.585
"602",2015,"aug.sep",2.53
"603",2016,"aug.sep",-0.101
"604",1950,"sep.oct",-0.433
"605",1951,"sep.oct",0.736
"606",1952,"sep.oct",0.275
"607",1953,"sep.oct",0.093
"608",1954,"sep.oct",-1.348
"609",1955,"sep.oct",-1.753
"610",1956,"sep.oct",-1.486
"611",1957,"sep.oct",1.083
"612",1958,"sep.oct",0.213
"613",1959,"sep.oct",-0.06
"614",1960,"sep.oct",-0.355
"615",1961,"sep.oct",-0.539
"616",1962,"sep.oct",-0.67
"617",1963,"sep.oct",0.814
"618",1964,"sep.oct",-1.225
"619",1965,"sep.oct",1.219
"620",1966,"sep.oct",-0.044
"621",1967,"sep.oct",-0.683
"622",1968,"sep.oct",0.435
"623",1969,"sep.oct",0.511
"624",1970,"sep.oct",-1.088
"625",1971,"sep.oct",-1.421
"626",1972,"sep.oct",1.643
"627",1973,"sep.oct",-1.667
"628",1974,"sep.oct",-1.052
"629",1975,"sep.oct",-1.987
"630",1976,"sep.oct",0.946
"631",1977,"sep.oct",0.986
"632",1978,"sep.oct",-0.02
"633",1979,"sep.oct",0.678
"634",1980,"sep.oct",0.201
"635",1981,"sep.oct",0.112
"636",1982,"sep.oct",2.024
"637",1983,"sep.oct",0.038
"638",1984,"sep.oct",0.001
"639",1985,"sep.oct",-0.139
"640",1986,"sep.oct",0.979
"641",1987,"sep.oct",1.647
"642",1988,"sep.oct",-1.326
"643",1989,"sep.oct",-0.341
"644",1990,"sep.oct",0.285
"645",1991,"sep.oct",1.009
"646",1992,"sep.oct",0.641
"647",1993,"sep.oct",1.069
"648",1994,"sep.oct",1.407
"649",1995,"sep.oct",-0.477
"650",1996,"sep.oct",-0.349
"651",1997,"sep.oct",2.401
"652",1998,"sep.oct",-0.798
"653",1999,"sep.oct",-0.973
"654",2000,"sep.oct",-0.387
"655",2001,"sep.oct",-0.275
"656",2002,"sep.oct",1
