"yr","mo.char","NAO"
1926,"May",-1.19
1927,"May",-2.03
1928,"May",-2.9
1929,"May",0.67
1930,"May",1.84
1931,"May",-0.62
1932,"May",-0.68
1933,"May",-0.55
1934,"May",1.41
1935,"May",-3.21
1936,"May",-2.34
1937,"May",2.31
1938,"May",-0.35
1939,"May",-0.9
1940,"May",-0.25
1941,"May",-0.54
1942,"May",0.82
1943,"May",2.17
1944,"May",0.42
1945,"May",-0.84
1946,"May",-2.7
1947,"May",-1.2
1948,"May",-1.23
1949,"May",-1.39
1950,"May",-1.73
1951,"May",-2.11
1952,"May",-0.94
1953,"May",-0.75
1954,"May",-0.91
1955,"May",0.33
1956,"May",4.54
1957,"May",-0.84
1958,"May",1.1
1959,"May",-2.22
1960,"May",0.07
1961,"May",-0.94
1962,"May",-0.1
1963,"May",1.91
1964,"May",2.51
1965,"May",-0.08
1966,"May",1.51
1967,"May",-0.46
1968,"May",-1.5
1969,"May",-0.23
1970,"May",1.87
1971,"May",-0.62
1972,"May",1.24
1973,"May",0.37
1974,"May",-0.01
1975,"May",-2.42
1976,"May",1.2
1977,"May",-1.62
1978,"May",0.37
1979,"May",1
1980,"May",-2.26
1981,"May",0.05
1982,"May",1.1
1983,"May",-0.57
1984,"May",-2.34
1985,"May",-2.13
1986,"May",2.16
1987,"May",-0.81
1988,"May",-1.24
1989,"May",1.16
1990,"May",-1.19
1991,"May",-0.04
1992,"May",0.79
1993,"May",-2.59
1994,"May",-1.43
1995,"May",-0.36
1996,"May",-1.5
1997,"May",-1.35
1998,"May",-1.26
1999,"May",1.03
2000,"May",0.31
2001,"May",-0.09
2002,"May",-0.05
2003,"May",1.17
2004,"May",-0.67
2005,"May",-0.13
2006,"May",-0.22
2007,"May",0.62
2008,"May",-3.26
2009,"May",1.52
2010,"May",-1.66
2011,"May",1.08
2012,"May",-0.83
2013,"May",1.23
2014,"May",-0.08
2015,"May",2.09
2016,"May",-0.83
2017,"May",NA
1821,"Jun",NA
1822,"Jun",-0.86
1823,"Jun",-0.83
1824,"Jun",-3.94
1825,"Jun",0.41
1826,"Jun",0.83
1827,"Jun",-0.07
1828,"Jun",-1.33
1829,"Jun",-0.1
1830,"Jun",-0.85
1831,"Jun",-1.36
1832,"Jun",-3.62
1833,"Jun",-1.52
1834,"Jun",0.27
1835,"Jun",0.1
1836,"Jun",2.95
1837,"Jun",-2.98
1838,"Jun",1.24
1839,"Jun",0.01
1840,"Jun",-0.09
1841,"Jun",-0.61
1842,"Jun",-4.3
1843,"Jun",-1.92
1844,"Jun",-0.12
1845,"Jun",2.07
1846,"Jun",1.45
1847,"Jun",-0.26
1848,"Jun",-1.78
1849,"Jun",-3.21
1850,"Jun",0.4
1851,"Jun",-1.62
1852,"Jun",0.09
1853,"Jun",1.09
1854,"Jun",-0.06
1855,"Jun",0.78
1856,"Jun",2.03
1857,"Jun",-0.33
